Parameters:
version     = V1
date_time   = 251103_102738
comp_time   = 0:00:20.135101
disk_type   = SG
torque_type = G23
alpha       = 0.010
gen         = 1g
N           = 100

Data:
logMBH/Msun, m1/Msun, r0/Rs, chi_eff, T/Myr, t_gw/Myr, t_migr/Myr, is_emri, Ng 
6.4 1.971e+01 7.148e+00 -1.841e-01 5.514e+00 4.243e-05 3.633e+02 True 1
6.4 1.080e+01 6.176e+01 -3.206e-01 5.113e+01 3.496e-01 4.241e+00 False 1
7.0 9.355e+00 8.923e+02 -6.438e-01 4.116e+00 4.085e+05 8.561e-02 False 1
6.7 9.329e+00 1.245e+01 -2.394e-01 3.995e+00 3.928e-03 7.096e+02 True 1
7.0 1.020e+01 3.585e+00 9.355e-02 2.178e+00 8.968e-05 6.435e+03 True 1
5.9 2.252e+01 5.483e+01 6.319e-01 1.433e-01 1.217e-02 6.397e-01 False 1
6.5 6.954e+00 5.739e+01 -4.826e-01 4.687e-01 9.262e-01 3.874e+02 False 1
6.1 7.345e+00 1.721e+01 3.759e-01 1.992e-01 1.030e-03 8.649e+01 True 1
6.8 7.765e+00 1.126e+01 -7.576e-01 1.210e+00 3.462e-03 1.101e+03 True 1
7.7 2.175e+01 1.486e+01 -3.017e-01 6.672e-01 2.519e-01 1.499e+03 True 1
6.5 1.896e+01 2.632e+00 6.394e-01 8.964e+00 1.473e-06 7.175e+02 True 1
7.4 8.009e+00 1.824e+03 -1.882e-01 1.422e-01 4.866e+07 1.297e-01 False 1
6.5 1.865e+01 2.768e+01 5.906e-01 9.932e-02 1.770e-02 2.067e+01 True 1
7.4 2.385e+01 6.179e+01 2.298e-01 2.237e+00 1.921e+01 6.634e+00 False 1
6.0 1.899e+01 9.759e+00 -2.937e-01 1.009e+00 1.857e-05 7.973e+01 True 1
7.0 1.312e+01 1.458e+03 -2.222e-01 5.030e+00 2.030e+06 3.556e-02 False 1
6.9 1.552e+01 2.501e+01 -8.655e-01 8.160e-01 9.138e-02 8.119e+01 True 1
6.1 1.564e+01 5.193e+01 -9.879e-01 3.109e+00 3.617e-02 2.086e+00 False 1
5.9 8.404e+00 3.182e+00 -9.800e-01 3.941e-01 3.959e-07 4.493e+02 True 1
7.1 1.553e+01 2.569e+03 8.299e-01 3.548e+00 2.706e+07 2.034e-02 False 1
6.4 9.787e+00 3.143e+00 7.462e-01 2.349e-01 2.894e-06 1.028e+03 True 1
6.2 1.773e+01 1.391e+02 -2.174e-01 2.877e+00 2.186e+00 1.948e-01 False 1
6.9 1.880e+01 4.510e+00 -5.002e-01 1.378e-01 8.034e-05 2.041e+03 True 1
6.5 7.428e+00 3.269e+01 2.848e-01 1.532e+01 6.534e-02 2.643e+01 True 1
6.4 1.068e+01 1.066e+02 5.260e-01 6.903e-01 3.543e+00 7.835e-01 False 1
6.3 9.288e+00 4.415e+01 6.095e-01 1.248e+00 6.323e-02 2.457e+01 False 1
7.0 2.064e+01 3.429e+01 -2.668e-02 6.577e+01 3.050e-01 2.414e+01 True 1
6.6 1.870e+01 6.098e+00 -2.204e-01 3.223e+00 6.625e-05 7.721e+02 True 1
6.3 2.227e+01 6.817e+00 7.380e-01 9.888e-01 1.610e-05 2.433e+02 True 1
6.5 1.054e+01 4.178e+00 -8.031e-01 1.255e+00 1.177e-05 1.004e+03 True 1
6.7 1.994e+01 3.181e+01 9.720e-01 3.267e-01 7.677e-02 1.882e+01 True 1
6.0 8.157e+00 8.770e+01 -6.133e-01 6.207e-02 3.589e-01 5.440e-01 False 1
6.3 7.251e+00 2.541e+01 3.654e-01 3.695e+00 1.271e-02 4.574e+01 True 1
7.2 6.222e+00 4.393e+03 -9.787e-01 3.711e+01 5.879e+08 1.411e-01 False 1
5.4 1.749e+01 1.914e+02 -2.244e-01 9.070e-01 2.491e-01 1.629e-02 False 1
7.0 1.598e+01 1.769e+03 6.425e-01 1.899e+00 3.043e+06 2.188e-02 False 1
6.1 8.665e+00 7.743e+00 -7.505e-01 4.028e+00 3.347e-05 3.716e+02 True 1
6.8 1.567e+01 1.879e+01 -9.296e-01 8.749e+00 1.577e-02 1.493e+02 True 1
6.7 1.885e+01 3.754e+01 8.649e-01 5.918e+01 1.439e-01 5.588e+01 True 1
6.5 7.491e+00 9.289e+00 -6.732e-01 7.066e+00 4.817e-04 8.762e+02 True 1
6.8 1.876e+01 7.977e+00 -8.557e-01 7.022e+00 4.297e-04 9.540e+02 True 1
6.1 1.846e+01 1.097e+01 -3.111e-01 1.008e+00 5.107e-05 8.095e+01 True 1
7.9 1.412e+01 5.178e+01 -1.090e-01 1.699e+00 1.521e+02 6.139e+01 False 1
7.3 9.683e+00 2.261e+03 -6.322e-01 8.760e-01 4.726e+07 5.528e-02 False 1
6.6 1.966e+01 1.913e+01 6.536e-01 3.365e-01 6.163e-03 7.890e+01 True 1
6.7 1.993e+01 8.232e+00 2.759e-01 1.479e+01 2.822e-04 6.612e+02 True 1
7.2 1.027e+01 9.909e+01 -6.307e-01 4.195e+00 1.220e+02 4.181e+00 True 1
6.1 1.897e+01 1.059e+02 -6.370e-01 9.751e-01 6.072e-01 1.852e-01 False 1
6.0 1.328e+01 3.607e+00 5.192e-01 7.958e+00 6.474e-07 4.981e+02 True 1
6.5 1.943e+01 2.472e+01 2.957e-01 2.301e-01 9.174e-03 2.657e+01 True 1
5.7 1.873e+01 8.958e+01 2.819e-01 4.814e+00 4.875e-02 1.220e-01 False 1
6.0 1.074e+01 1.611e+01 1.895e-01 1.957e-01 2.468e-04 4.170e+01 True 1
7.1 1.877e+01 4.491e+02 2.196e-01 1.862e+02 1.450e+04 3.497e-01 False 1
6.4 1.888e+01 1.112e+01 -8.700e-01 8.439e-02 2.758e-04 2.042e+02 True 1
6.5 1.898e+01 1.875e+01 1.295e-01 8.035e-01 3.252e-03 6.522e+01 True 1
