Parameters:
version     = V8
date_time   = 251103_102307
comp_time   = 0:03:56.651138
disk_type   = SG
torque_type = G23
log(M_SMBH) = 7.0
alpha       = 0.010
T           = 2.0e+06
gen         = 1g
N           = 10000
R_min       = 7.4e+10
R_max       = 3.0e+17
trap_rad    = 1.9e+14 

Data:
r_1       r_2       m_1       m_2       r_pu      t_pu      paired      migration_1      migration_2      Ng_1
5.922e+16 3.078e+11 3.746e+31 1.534e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.308e+15 8.278e+12 3.544e+31 3.444e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.113e+13 9.936e+12 2.091e+31 1.923e+31 1.933e+14 1.008e+13 1 type_I type_I 1
4.428e+14 4.593e+16 2.149e+31 1.705e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.468e+12 3.467e+14 3.463e+31 2.021e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.240e+11 4.572e+11 1.537e+31 1.504e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.489e+11 1.480e+14 3.958e+31 1.639e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.956e+15 3.987e+14 4.247e+31 1.394e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.771e+16 9.859e+15 2.110e+31 2.001e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.764e+15 2.598e+13 3.801e+31 3.211e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.361e+11 5.974e+12 1.673e+31 1.539e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.104e+11 1.048e+13 3.642e+31 1.500e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.943e+12 1.243e+14 2.332e+31 2.095e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.488e+17 4.384e+16 3.906e+31 1.379e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.771e+13 2.016e+13 3.758e+31 2.148e+31 2.722e+13 4.170e+11 1 type_I type_I 1
2.553e+14 7.075e+14 3.955e+31 1.580e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.421e+13 3.765e+16 3.469e+31 1.572e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.561e+13 1.216e+13 3.236e+31 3.223e+31 1.925e+14 3.474e+12 1 type_I type_I 1
1.168e+15 8.552e+10 2.172e+31 1.627e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.848e+12 2.810e+13 3.606e+31 1.852e+31 0.000e+00 0.000e+00 0 type_I type_I 1
7.114e+16 2.202e+17 2.078e+31 1.995e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.095e+13 3.081e+14 2.743e+31 1.293e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.800e+17 3.308e+16 1.739e+31 1.649e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.254e+12 9.953e+15 3.765e+31 3.647e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.058e+12 8.825e+13 3.494e+31 3.267e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.712e+15 1.377e+16 2.797e+31 1.302e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.240e+14 6.112e+11 3.736e+31 2.979e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.480e+11 1.766e+15 4.241e+31 1.796e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.051e+16 9.173e+13 4.592e+31 4.469e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.472e+17 5.629e+12 3.944e+31 3.760e+31 0.000e+00 0.000e+00 0 type_I type_I 1
9.140e+13 7.075e+16 2.145e+31 1.449e+31 0.000e+00 0.000e+00 0 type_I type_I 1
7.826e+15 1.258e+17 3.389e+31 1.870e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.260e+15 1.612e+11 1.791e+31 1.527e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.277e+11 6.915e+16 3.718e+31 2.026e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.177e+12 5.153e+11 3.379e+31 2.054e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.002e+17 1.068e+14 3.776e+31 1.619e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.410e+13 3.827e+13 4.180e+31 1.472e+31 1.933e+14 1.760e+12 1 type_I type_I 1
2.732e+17 7.466e+14 3.767e+31 1.473e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.193e+14 4.687e+12 3.773e+31 1.926e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.309e+11 7.537e+11 1.802e+31 1.732e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.648e+13 1.088e+13 3.701e+31 1.187e+31 1.933e+14 1.032e+13 1 type_I type_I 1
9.102e+12 9.375e+16 3.965e+31 3.755e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.008e+16 1.645e+17 4.454e+31 3.854e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.233e+16 2.906e+15 3.947e+31 1.469e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.046e+13 2.440e+15 4.331e+31 3.884e+31 1.933e+14 3.855e+13 1 type_I type_I 1
1.035e+17 1.319e+11 3.801e+31 1.614e+31 0.000e+00 0.000e+00 0 type_I type_I 1
5.349e+14 1.447e+15 2.129e+31 2.014e+31 1.933e+14 3.186e+13 1 type_I type_I 1
3.833e+16 1.028e+15 4.587e+31 3.879e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.444e+11 2.350e+17 1.938e+31 1.750e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.060e+14 2.800e+13 2.085e+31 1.594e+31 1.932e+14 2.131e+12 1 type_I type_I 1
